Timestamp,RSSI,Activity
17658,-25,Jumping
17670,-38,Jumping
17670,-40,Jumping
17678,-27,Jumping
17690,-37,Jumping
17698,-27,Jumping
17710,-37,Jumping
17718,-27,Jumping
17730,-37,Jumping
17738,-27,Jumping
17750,-37,Jumping
17758,-27,Jumping
17770,-37,Jumping
17778,-23,Jumping
17790,-38,Jumping
17790,-42,Jumping
17798,-23,Jumping
17810,-38,Jumping
17810,-42,Jumping
17818,-23,Jumping
17830,-38,Jumping
17830,-42,Jumping
17838,-23,Jumping
17850,-38,Jumping
17850,-42,Jumping
17858,-23,Jumping
17870,-38,Jumping
17870,-42,Jumping
17878,-23,Jumping
17890,-38,Jumping
17890,-42,Jumping
17898,-23,Jumping
17910,-38,Jumping
17910,-42,Jumping
17918,-23,Jumping
17930,-38,Jumping
17930,-42,Jumping
17938,-23,Jumping
17950,-38,Jumping
17950,-42,Jumping
17958,-23,Jumping
17970,-38,Jumping
17970,-42,Jumping
17978,-34,Jumping
17990,-38,Jumping
17990,-35,Jumping
17998,-34,Jumping
18010,-39,Jumping
18010,-35,Jumping
18018,-34,Jumping
18030,-39,Jumping
18030,-35,Jumping
18038,-34,Jumping
18050,-39,Jumping
18050,-35,Jumping
18058,-34,Jumping
18070,-39,Jumping
18070,-35,Jumping
18078,-28,Jumping
18090,-39,Jumping
18090,-38,Jumping
18098,-28,Jumping
18110,-37,Jumping
18110,-38,Jumping
18118,-28,Jumping
18130,-37,Jumping
18130,-38,Jumping
18138,-28,Jumping
18150,-37,Jumping
18150,-38,Jumping
18158,-28,Jumping
18170,-37,Jumping
18170,-38,Jumping
18178,-26,Jumping
18190,-37,Jumping
18190,-38,Jumping
18198,-26,Jumping
18210,-36,Jumping
18210,-40,Jumping
18218,-26,Jumping
18230,-36,Jumping
18230,-40,Jumping
18238,-26,Jumping
18250,-36,Jumping
18250,-40,Jumping
18258,-26,Jumping
18270,-36,Jumping
18270,-40,Jumping
18278,-25,Jumping
18290,-36,Jumping
18290,-40,Jumping
18298,-25,Jumping
18310,-37,Jumping
18318,-25,Jumping
18330,-37,Jumping
18338,-25,Jumping
18350,-37,Jumping
18358,-25,Jumping
18370,-37,Jumping
18378,-22,Jumping
18390,-37,Jumping
18398,-22,Jumping
18410,-37,Jumping
18418,-22,Jumping
18430,-37,Jumping
18438,-22,Jumping
18450,-37,Jumping
18458,-22,Jumping
18470,-37,Jumping
18478,-22,Jumping
18490,-37,Jumping
18498,-28,Jumping
18510,-37,Jumping
18510,-41,Jumping
18518,-28,Jumping
18530,-37,Jumping
18530,-41,Jumping
18538,-28,Jumping
18550,-37,Jumping
18550,-41,Jumping
18558,-28,Jumping
18570,-37,Jumping
18570,-41,Jumping
18578,-28,Jumping
18590,-37,Jumping
18590,-41,Jumping
18598,-36,Jumping
18610,-36,Jumping
18610,-35,Jumping
18618,-36,Jumping
18630,-36,Jumping
18630,-35,Jumping
18638,-36,Jumping
18650,-36,Jumping
18650,-35,Jumping
18658,-36,Jumping
18670,-36,Jumping
18670,-35,Jumping
18678,-36,Jumping
18690,-36,Jumping
18690,-35,Jumping
18698,-25,Jumping
18710,-36,Jumping
18710,-37,Jumping
18718,-25,Jumping
18730,-36,Jumping
18730,-37,Jumping
18738,-25,Jumping
18750,-36,Jumping
18750,-37,Jumping
18758,-25,Jumping
18770,-36,Jumping
18770,-37,Jumping
18778,-25,Jumping
18790,-36,Jumping
18790,-37,Jumping
18798,-32,Jumping
18810,-36,Jumping
18810,-35,Jumping
18818,-32,Jumping
18830,-39,Jumping
18830,-35,Jumping
18838,-32,Jumping
18850,-39,Jumping
18850,-35,Jumping
18858,-32,Jumping
18870,-39,Jumping
18870,-35,Jumping
18878,-32,Jumping
18890,-39,Jumping
18890,-35,Jumping
18898,-29,Jumping
18910,-39,Jumping
18910,-37,Jumping
18918,-29,Jumping
